Ticker,Annualisierte Rendite,Annualisierte Volatilität,Sharpe Ratio
AAPL,23.65,27.97,0.77
MSFT,14.58,28.43,0.44
NVDA,67.04,52.09,1.25
JPM,22.76,24.36,0.85
JNJ,14.9,17.69,0.73
SAP.DE,10.87,28.97,0.31
ALV.DE,25.22,19.15,1.21
SIE.DE,14.73,30.4,0.42
NESN.SW,,,
MC.PA,-6.95,29.98,-0.3
